,X7,X9,X11,X14,X18,X20,X21,X22,X24,X26,X29,X30,X34,X48,X49,X50,X52,y
551,70.74,0.4884671788012282,24.98,0.10946890052763986,0.9254083324250544,7.17,15.53,7.79,8.19,0.73,77.31,2.05,1.15,9.96,0.2578428982435573,0.1009115322521398,0.016813910212635327,0
562,98.56,0.36823854994852295,26.71,0.059278364920097124,0.7316589181423755,-2.18,0.69,0.43,0.57,1.89,74.98,1.16,0.69,-44.8,0.3390557957225896,0.15593869342945565,0.3188817419963857,0
573,85.2,0.5089412667269521,29.18,0.08929224119153542,0.9482836172679788,-10.2,-16.47,-8.44,-8.87,1.31,82.82,2.51,1.27,-2.9,0.32913756485264123,0.12753663724403858,-0.048236324106023666,0
584,120.14,0.5824189491687535,46.07,0.08346224306919629,0.7948745075431896,0.85,6.5,2.89,3.7,2.5,88.93,2.38,1.18,23.62,0.2511839172164103,0.07697003574528177,-0.03380297647446448,0
595,111.57,0.5162340975990377,21.75,0.05732439574020313,0.9940062741615604,0.4,4.57,2.27,2.28,1.19,89.58,3.62,0.87,7.43,0.12993422171865962,0.2534343218889475,0.1410172115794356,0
606,64.38,0.3034242321985245,16.89,0.21978706176353088,0.6766062003488891,0.38,0.88,0.54,0.67,-0.81,65.25,0.96,0.71,-39.0,0.1647451817306757,0.2260780107104144,0.6244964138738279,0
617,108.03,0.2744551004667409,14.83,0.02814670377991308,0.3759407945810108,4.44,8.76,6.09,16.38,1.05,80.01,1.16,0.76,-32.44,0.245594926496089,0.142897617398455,0.10759130751366648,0
628,127.6,0.5436116120621317,37.18,0.2339956103088214,0.4273963852928058,0.63,3.68,1.41,2.66,1.51,86.69,0.86,0.81,-50.89,0.2772981734954849,0.20519797370606024,0.0344242357773109,0
639,70.2,0.5320220034651558,28.38,0.08839162905256125,0.9192697272503486,5.67,14.6,8.18,8.68,2.7,65.16,0.95,0.65,93.03,0.6976989872642996,0.12863526507144984,0.25796440393682885,0
650,76.51,0.22315054205722176,0.44,0.04339173013262145,0.6464762377700554,7.13,11.98,9.26,15.33,-0.23,81.46,2.82,1.58,15.9,0.051621686843538496,0.011932515082309744,0.2255149174318881,0
661,100.67,0.2473203484616588,0.0,0.0384144516134715,0.8135307605441765,6.24,8.84,6.82,7.79,-2.49,30.42,1.71,0.45,28.98,0.03424852233484097,0.06494307572792292,0.3396843041661448,0
672,120.7,0.5489589739013162,28.71,0.00513189796462861,0.9167452771131088,0.37,3.9,1.77,1.94,0.8,78.43,4.74,1.18,2.54,0.1813821453787604,0.16575760843559487,0.1172847227989618,0
683,50.23,0.4500339237127773,28.69,0.02162853162878781,0.8448168331670199,2.95,8.22,4.63,5.64,0.67,94.55,3.79,1.79,11.4,0.26401014896590197,0.09396214727230813,-0.04220155494071215,0
694,80.27,0.5136342760360088,24.75,0.008444859343731905,0.9397623275555578,3.87,13.53,6.58,7.07,0.82,90.0,3.39,1.7,11.73,0.281699359715896,0.14761686361499374,0.04861519095607539,0
705,117.02,0.3473907746094476,23.97,0.0013529757246891745,0.4978186218971892,3.12,5.53,3.57,7.26,0.92,91.05,4.24,1.54,23.06,0.18784174773133408,0.014859464958285641,0.028026237050971813,0
716,40.28,0.07905909955940235,4.94,0.04627683293723201,0.7269315423343385,-9.94,-15.08,-13.99,-21.98,-9.22,79.49,0.16,0.14,43.39,0.1385938439054154,0.07521795513014415,-0.154511183407579,0
727,79.02,0.2540371971018304,19.51,0.02285777913955111,0.965930236954202,-1.19,-2.53,-1.97,-2.09,0.01,79.14,2.56,0.7,-7.09,0.2476013268469098,0.05677445425885778,0.2678656971713741,0
738,201.5,0.7497073047608994,57.66,0.007368723361705078,0.8833238590296358,-11.68,-10.56,-2.95,-3.27,2.04,97.58,5.25,2.14,-36.19,0.0977780752292301,0.03082536610991095,0.1432996483374784,0
749,77.01,0.4479666460730777,22.01,0.10033728070761028,0.90190194336318,10.15,21.6,12.24,13.88,0.28,77.53,1.88,0.96,26.25,0.3147632346830429,0.2427101573337573,0.33011284294844184,0
760,279.94,0.8439127425318987,68.75,0.010676119147388374,0.8754838760801686,-25.33,-36.09,-9.09,-12.4,8.3,106.95,1.48,0.78,-29.42,0.3234959746771789,0.115372653368531,0.043379372715156975,0
771,94.39,0.6259846554153536,18.74,0.07180968691096566,0.6747288113090084,2.46,11.03,3.96,6.13,1.62,90.49,1.27,1.18,-9.03,0.4132908622179557,0.1056186213803542,-0.010998040382905295,0
782,69.85,0.27181032746416234,6.08,0.11170670562677333,0.7389203249788051,10.5,18.02,13.12,17.43,0.13,57.92,4.48,1.9,0.0,0.13093095745228886,0.10318388051505188,0.5976132641062265,0
793,252.63,0.737323257181176,41.81,0.017374277687011132,0.5524051212396903,2.65,20.81,5.74,9.44,0.93,92.52,5.72,3.1,30.17,0.16531849438584353,0.17570561761501635,-0.12057008816895452,0
804,183.1,0.656985800592381,29.23,0.01824864935536491,0.7237656935213791,-1.07,2.83,1.01,1.36,1.34,96.26,4.08,1.65,42.35,0.2336463852546592,0.26973127712853895,0.05451744299288693,0
815,102.14,0.6255722855075235,53.64,0.011208589521448764,0.8994586440698439,-0.88,8.78,3.36,3.75,1.44,95.41,5.99,2.03,-0.3,0.15303865698538247,0.01475692871818139,0.029672396715650463,0
826,127.78,0.4040107850578174,29.61,0.04739002757558875,0.9854427884841016,1.47,4.72,2.82,3.15,2.08,90.76,3.74,0.63,-5.49,0.14032628375387313,0.099645178752074,0.19653321086740813,0
837,786.68,0.8918828219358671,68.48,0.06832411656451952,0.8493375640834601,-1.58,16.51,2.07,2.56,3.78,86.45,5.07,0.77,25.81,0.07680293122062462,0.028768442961880438,0.10092054819508844,0
848,111.1,0.4495049943289312,11.28,0.01891394211304724,0.6994953680563452,4.9,12.75,6.93,9.66,0.34,42.5,7.52,1.61,6.47,0.10396208939460504,0.3352538549320515,-0.033103071015583616,0
859,179.73,0.6556481381472747,57.74,0.009992373196721048,0.6261972014380262,6.77,29.32,9.81,12.56,2.38,90.48,6.82,1.82,-28.08,0.1046414429328932,0.009178217304925131,0.10586191349962264,0
870,139.76,0.8118338285697626,61.37,0.06024713469749768,0.8643907319580241,-1.36,13.13,2.54,2.64,2.53,95.02,3.52,1.87,0.33,0.22209382663514826,0.10274036316159296,0.15870943417384076,0
881,52.69,0.34657704374879345,30.26,0.0012573478769240627,0.7005286114082717,-4.96,0.44,0.27,0.36,-0.69,93.2,1.11,0.79,-30.41,0.11282044742953662,0.02337542974713494,0.010047918374008077,0
892,153.6,0.578831384093877,36.47,0.05121236976778956,0.8304058493634329,3.83,20.67,10.1,12.53,2.06,47.15,1.74,0.99,-23.18,0.29502070649902506,0.023557072597956585,0.3005963578775022,0
903,50.07,0.33026548440329706,19.58,0.06361818465894471,0.8788634015439067,0.71,1.31,0.88,0.98,0.84,90.16,1.86,1.06,-1.52,0.2723349705722096,0.09356519897153703,-0.032648497134931995,0
914,144.17,0.5755010370704619,41.52,0.004803057629638061,0.8024802827948005,1.79,12.02,5.01,6.24,2.96,87.62,3.84,1.08,-6.54,0.21215480334367204,0.06809703706770259,0.08027238188935924,0
925,61.22,0.2618322235780233,0.54,0.06582008092049361,0.8178197647873816,-5.22,-10.01,-7.88,-10.31,-3.35,91.62,0.96,0.52,0.83,0.1822549649851305,0.11131030028979877,-0.1950193087777433,0
936,80.42,0.2890585526612214,18.15,0.02034907791973211,0.9147496460333284,3.22,3.65,2.84,3.42,0.28,90.31,3.16,1.28,16.73,0.2611380010168519,0.07023010940720613,-0.2281665549250544,0
947,276.03,0.7231118640703079,47.28,0.006038347954244064,0.8220933944109657,0.64,14.04,3.94,4.6,3.01,91.1,4.59,1.13,13.97,0.16947079119896152,0.1859661505520644,0.0952327391890816,0
958,190.93,0.5707200884704068,48.05,0.01687009680859334,0.5103336368962496,0.88,5.37,2.29,4.39,2.39,85.33,3.31,0.81,-13.78,0.2796974760137645,0.09440942772393812,0.11789398907300773,0
969,29.19,0.24660258295664175,0.0,0.1398897198533545,0.9698789587172236,4.32,6.12,4.68,4.81,-0.24,70.24,1.9,0.74,9.76,0.09333102813155056,0.2727743818983143,0.4098274958806993,0
980,215.74,0.6878923765571822,54.4,0.007220269267294058,0.9484747361836376,-4.19,6.17,1.94,2.06,3.68,89.36,3.62,0.85,-21.07,0.206985660011392,0.08627507614931637,0.08218252598060992,0
991,46.03,0.10273369461515934,0.69,0.10038119280143752,0.7421816497266918,7.62,9.46,8.07,10.21,-1.77,69.61,0.97,0.78,-19.95,0.2359093288483264,0.10133023416152864,0.14324486998669078,0
1002,46.01,0.3655931301193229,7.82,0.07087678834312043,0.9316906434496984,2.93,4.1,2.46,2.6,-0.79,94.93,1.77,1.28,-3.03,0.08692326611533037,0.06889113917841648,-0.13976450683440872,0
1013,497.22,0.8637073486342409,65.39,0.005469810280730059,0.6752683648269495,-3.38,0.0,1.02,1.4,9.55,81.22,1.83,0.72,2.19,0.4561388876581677,0.27891395249514794,-0.06365869548043618,0
