,총부채증가율,부가가치증가율,고용인증가율,유동비율,당좌비율,유동부채비율,비유동비율,순운전자본비율,부채구성비율,부채비율,차입금의존도,비유동장기적합률,청산가치율,현금성자산비율,이익잉여금비율,자본잉여금비율,매출채권대비매입채무비율,경영자산비율,자기자본순이익률,총자본순이익률,자기자본정상영업이익률,총자본정상영업이익률,경영자본순이익률,경영자본정상영업이익률,매출액순이익률,금융비용부담률,매출액정상영업이익률,매출액판관비율,매출원가율,당좌자산회전률,재고자산회전률,자기자본회전률,총자산회전률,경영자본회전률,비유동자산회전률,매출채권회전률,매입채무회전률,유형자산회전율,부가가치율,설비투자효율,총자본투자효율,총자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,유형자산증가율,유동자산증가율,매출채권회수기간(단위 년),매입채무지급기간(단위 년),영업활동현금흐름대비유동부채비율,영업활동현금흐름대비총부채비율,영업활동현금흐름대비총자산비율,영업이익대비영업현금성자산비율,영업이익대비EBITDA비율,자본잠식률,y
12,0.22234808190923905,0.8824515659845591,0.038461538461538464,153.27,89.32,69.28,65.53,21.49,0.4176317456142713,71.71,24.24,0.6397189408746915,0.6856755188907688,0.18173862233511298,-1.554658529072366,0.8654829880473413,1.5549149932227444,0.8174546536996941,-74.34,-47.35,-5.95,-3.79,-48.42,-3.88,-58.3,0.21,-4.67,0.6069508419430969,43.97,1.93,3.34,1.28,0.81,0.83,2.42,10.23,11.35,30.7,-38.26,-1187.22,-32.5,-8.38,-22.33,-4.72,0.0,0.0,-2.07,-19.7,0.14283437169967542,0.2089020725212343,-0.12782136363506014,-0.12347702082855813,-0.05156792375188047,-0.21814446509042065,1758.8500874458218,0.4079643871086113,1
13,0.8015276115931406,-1.0248355973379129,-0.1111111111111111,142.07,99.07,101.57,75.82,19.41,0.5457107198031311,120.12,33.58,0.6395603824891049,0.7400924500446625,0.061967417499677366,-1.7795344747059243,0.7837577535155964,0.900024494405798,0.7397926059590143,-34.43,-17.49,-14.41,-7.32,-21.86,-9.15,-24.59,3.32,-10.29,0.6851754516453437,41.77,1.71,3.18,1.4,0.71,0.89,1.98,10.21,10.6,28.25,0.95,24.8,0.59,37.87,7.55,-0.36,0.0,0.0,18.91,46.16,0.08678895281914611,0.2308440631863635,-0.12000370462050372,-0.10146658094622824,-0.05537140092412887,-1.0193054075654306,1282.2075922853196,0.4989214116284879,1
14,-0.25203550070789643,-1.980024212207932,-0.3162162162162162,102.16,96.49,2235.59,520.51,1.72,0.964340573809449,2704.31,34.06,0.9152218815638664,0.04680566366868996,0.03311829126938668,-0.6854720507288415,0.8554775828686796,1.4485613656401544,0.8487101186512095,-168.56,-24.56,-156.69,-22.83,-29.71,-27.62,-42.53,6.99,-39.53,0.17799531123388007,102.62,0.74,13.86,3.96,0.58,0.7,3.23,2.29,2.68,29.55,-25.28,-1519.88,-19.26,-38.95,-89.78,-50.39,0.0,0.0,-1.59,-39.79,0.3940903507743249,0.26511622275042585,0.2210285593601211,0.1827190837136851,0.17620342603439182,-9.093625419235519,1005.3483892440544,-0.2035126,1
15,-0.3544338339673035,-0.4728068169150741,-0.22134387351778656,178.51,159.25,528.54,424.77,30.33,0.9269154551988552,1268.28,16.61,0.5058314434879766,0.1164074708162315,0.014094979412860824,-4.207170012498655,2.4015246174497547,12.027606119791884,0.7327693202547622,-430.67,-21.83,-279.66,-14.18,-28.38,-18.43,-43.28,9.78,-28.1,0.2159136077235632,106.51,0.71,8.86,9.95,0.5,0.66,2.14,2.25,3.68,16.62,-24.08,-827.77,-15.12,-32.84,37.65,-44.65,0.0,0.0,-1.59,-43.13,0.6314299838140909,0.04928904361964738,0.24487732398474024,0.1020490292597264,0.0945908224088806,-12.517782590147688,975.8463266138947,0.27675046835921746,1
18,-0.035806435808697634,-0.007659116158359298,-0.7638888888888888,22.46,20.99,0.0,0.0,-73.26,1.072757458948597,0.0,81.24,14.284465464487248,-0.04316163134760125,0.06582045659827017,4.501596241112998,-2.268669308936465,1.1282650710869364,0.6385829127864744,0.0,-22.24,0.0,-14.86,-35.66,-23.83,-15.07,1.63,-10.07,0.056037618169833485,104.46,5.52,43.58,0.0,1.48,2.37,2.11,11.94,10.35,4.05,14.09,56.72,23.74,-22.15,0.0,-74.03,0.0,0.0,1.86,-55.37,0.0587392192243581,0.04983717722749238,-0.21676420798131807,-0.1909194134325427,-0.2048102248178512,-2.578220026242954,1178.3510076782648,1.7136721189591078,1
19,-0.1832490377037336,-0.6588561171446915,-0.7813362782992822,52.04,31.04,1044.81,818.11,-36.79,0.9265718120366806,1261.87,45.67,2.580230126400884,0.02369328699693649,0.07663536329179113,-1.3151211855471685,2.7124360087336608,0.2578773749962172,0.6546537987242107,-78.95,-8.21,-109.95,-11.43,-10.24,-14.26,-3.05,0.64,-4.24,0.015329345444442722,103.05,8.06,17.75,25.92,2.69,3.36,5.24,14.27,6.24,9.61,2.16,27.36,6.7,-23.09,-55.69,-40.29,0.0,0.0,-38.19,-44.43,0.03642959746559533,0.13708333694675778,0.0010104943583405148,0.0008366695857661858,0.0007752344541593539,-1.715548947131896,1329.5592520177158,-0.9741742076424702,1
21,-0.8803295794064224,-0.4409608922794953,-0.1875,3079.63,3021.74,0.71,82.35,20.34,0.04103586204107542,4.28,0.0,0.7951631807538471,9.73933848911424,0.06953904291583557,-1.5830105724574592,1.7762752417156689,60.90477624525688,0.21233022901848933,-17.12,-13.98,-1.48,-1.2,-77.12,-6.65,-148.7,15.8,-12.82,0.660590775898672,100.09,0.6,4.26,0.12,0.09,0.52,0.11,2.79,31.33,139.3,-110.04,-17356.03,-10.83,-8.65,27.56,-31.31,0.0,0.0,-20.92,27.04,1.247207679340481,0.02046029187001313,0.8941360618632801,0.1487683161870517,0.0061048360991349405,-0.18148600758201885,1788.4820583426556,-0.2822979166246312,1
23,0.041227634213409865,-46.81743513160351,-0.09090909090909093,112.72,79.16,793.78,585.07,6.82,0.9324234707066212,1379.8,63.7,0.8528341262980984,0.054617485808207536,0.001982733835426545,-2.9902645758915063,0.0,1.0822321867391804,0.994749482167558,-141.25,-28.51,-108.1,-21.82,-34.64,-26.51,-26.38,1.07,-20.19,0.4833549644473947,71.85,3.36,4.51,5.35,1.08,1.31,2.46,7.0,7.91,2.64,-14.76,-63.27,-18.26,-22.49,-82.88,27.03,0.0,0.0,-31.04,-11.07,0.1714443802401742,0.22046918035137947,0.14965017819410098,0.086091241696996,0.08027349438055563,-125.9909957229684,1039.3124408103645,0.7506162977116001,1
24,-0.28544122495740776,-2.3508235143031437,-0.4767441860465117,65.88,30.94,100.87,134.46,-17.13,0.5022653478547819,100.91,19.33,1.3440374363365606,1.2730573224762824,0.0024138667543051238,-0.6518586013454185,1.4316315700632427,0.6413996358731835,0.5409897316654366,0.89,0.38,4.53,1.95,0.68,3.47,1.04,4.22,5.29,0.21438120391274715,79.89,1.79,2.15,0.86,0.37,0.66,0.59,2.39,1.17,2.1,21.02,49.51,8.22,-10.51,20.08,-0.77,0.0,0.0,-5.24,-29.47,0.4190067704097685,0.8177119925492865,-0.00511103458453507,-0.005109046786141448,-0.00256609716124769,8.565553406543607,578.0932198761292,-3.1046483024656304,1
26,-0.4772538965460127,-0.8160004064885739,-0.6764705882352942,14.14,14.14,106.6,208.52,-40.93,0.5527575190013404,123.59,35.43,1.7823457956147872,4.288038417379618,0.0006110973456894701,-0.6357016461644789,1.6932008784602792,13.000351313195713,0.08381746075981081,-60.75,-23.35,-63.55,-24.42,-79.71,-83.39,-292.69,30.69,-306.21,2.310721258392724,175.14,0.4,1.15,0.21,0.08,0.27,0.11,3.28,1.95,2.4,-182.02,-4143.67,-18.98,-38.09,-19.83,-58.77,0.0,0.0,-83.07,-89.35,3.9647604799923815,0.17413023998054508,0.06365759495722062,0.05490715071465965,0.030350340404467945,-522.6341573541032,1078.2323571055963,-4.031852170909923,1
