,X6,X9,X11,X12,X14,X18,X20,X21,X22,X24,X25,X26,X27,X28,X29,X30,X41,X42,X49,X52,X53,y
8971,10.42,0.11735279119365308,2.28,0.5580597532138805,0.14393034043019404,0.656411143216082,4.38,1.29,1.13,1.69,7.74,-3.99,2.0,0.14891070919946378,83.11,1.42,10.85,2.98,0.1601462944925117,0.14440038794749416,0.01694578857508478,0
8972,10.07,0.11937470882821233,1.77,0.4646776679532005,0.16976738427074384,0.7268428834149318,3.97,6.0,5.29,7.34,5.45,-2.68,7.26,0.1322252840994097,79.52,1.52,11.09,3.77,0.13389729574153694,0.5581491235333941,0.0666288891045208,0
8973,10.92,0.11628762886514132,1.28,0.5703132311324799,0.14822011455156872,0.7424440406869303,7.0,1.36,1.2,1.54,11.73,-3.55,2.01,0.06898033379943377,91.09,1.27,13.81,5.66,0.1506150454182121,-0.06187678600269299,-0.007195504726048935,0
8974,13.89,0.14097132140548274,7.26,0.7283766654550542,0.03422649954847296,0.5999104487679225,1.77,-1.07,-0.93,-1.31,3.16,-3.06,-1.67,0.06841771740937011,94.83,1.56,8.1,4.55,0.10008120170324454,-0.042451663958259264,-0.005984467164057316,0
8975,14.97,0.1497948777106116,7.0,0.7844923383888844,0.01403783843561192,0.5636720279173737,0.95,-1.94,-1.66,-2.53,1.82,-5.38,-3.19,0.0684126240838645,96.35,1.84,4.85,0.74,0.16202148105903785,0.010506370702135026,0.0015738005145086687,0
8976,95.92,0.5572817126294419,34.35,0.8881192970858683,0.010437217266442641,0.7771452008020151,-3.07,8.68,4.29,5.73,-2.68,0.93,3.74,0.03604747036147836,92.27,6.8,22.75,14.14,0.11293198097634173,-0.18018985647184327,-0.10041651181308216,0
8977,107.39,0.6080494944136001,41.87,0.8166921676784991,0.032961069319326256,0.8062949825560001,1.46,2.48,1.03,1.38,0.92,1.34,0.65,0.03731358029612231,95.62,7.1,21.43,13.68,0.06583369233860574,-0.003928246040494914,-0.002388568018855159,0
8978,107.09,0.6041106858006514,40.1,0.8269343271105517,0.032311841014632615,0.7982546013556416,1.06,7.59,2.99,3.89,0.83,1.35,2.33,0.04163905696234014,93.51,6.22,15.65,3.2,0.06261826961239432,0.07941920833858307,0.04797799241516623,0
8979,120.56,0.6263707412148766,43.55,0.8626816624755261,0.022566052087741404,0.7827174801227832,2.28,9.33,3.58,4.68,1.58,0.79,2.48,0.04713318139576109,92.8,9.0,17.13,9.15,0.06221602683833745,-0.028523047664480657,-0.017866002507308004,0
8980,44.39,0.5801940995570453,36.43,0.6998771761173015,0.0789435142861122,0.7638976043132838,-6.91,-1.7,-0.67,-0.9,-5.6,0.71,-0.54,0.06292953834097664,94.25,6.65,12.45,-24.66,0.05200148980372697,0.4919213703165564,0.2854098765036823,0
8981,112.69,0.6195264192155068,42.73,1.2301156837664973,0.02424279801183148,0.5770628097845434,2.37,14.7,5.86,8.99,1.41,0.36,3.48,0.047602608960767734,91.76,8.72,21.77,14.36,0.08567526316722164,0.09234159874815714,0.057208060017080925,0
8982,105.65,0.6378995512382091,45.55,1.1667413411409513,0.008413148715440133,0.5486996375985582,2.09,8.7,3.23,5.69,1.43,0.38,2.2,0.047821545492501664,93.01,9.7,21.07,7.65,0.07740025395416694,0.02519983336292916,0.016074962393490162,0
8983,88.52,0.6417727925422576,46.61,0.8953195538251612,0.01624829856005144,0.677607312601131,-1.83,5.41,1.95,3.17,-1.53,0.65,1.63,0.05973205635869053,92.4,6.47,19.83,-2.22,0.06694953059170951,0.09259548164569946,0.05942526083255593,0
8984,150.88,0.6842610797372839,51.03,1.2659153474016258,0.0769256193490244,0.6436792382782394,-8.12,15.63,5.28,7.97,-4.97,0.66,3.23,0.04328801316855997,92.44,8.97,11.58,-6.25,0.02578669500878257,0.08247789188656242,0.05643641135675419,0
8985,92.61,0.6389517688544399,48.7,0.9376336723758948,0.04058063383647265,0.7481940163590217,4.07,10.84,3.66,5.26,2.98,0.53,2.68,0.06406702334711961,90.92,11.44,22.47,-11.06,0.044742501228185384,-0.024351793688484183,-0.015559621652035359,0
8986,31.99,0.4567832194669547,29.99,1.022169318697306,0.028283888584835236,0.6351131708767295,-1.78,4.86,2.59,3.99,-2.01,0.7,2.92,0.06924656958446297,90.05,5.51,14.15,-1.52,0.05948899396580935,0.018779603209895683,0.008578207614528106,0
8987,52.62,0.4586394598281158,29.05,1.1373535919007405,0.014684444260846773,0.6427634344606143,2.83,7.59,4.11,6.47,3.68,1.53,5.36,0.08636057404760346,86.01,4.89,18.01,2.47,0.10645489221951078,0.043888867801353884,0.020129166620880528,0
8988,45.21,0.4775625285708437,32.47,1.0247446637654918,0.01755749532532733,0.6247617903746612,3.86,5.66,3.01,4.78,5.54,-0.06,4.32,0.10021515849296113,85.66,3.76,16.0,11.67,0.09583989476806344,0.03336308033125812,0.015932957003907802,0
8989,65.84,0.4739808989200047,29.52,1.1712999787316558,0.0047893547937808935,0.6400039926327524,1.55,3.21,1.68,2.68,2.39,-0.79,2.6,0.10518268979961612,86.88,3.14,11.89,2.55,0.1199295699058228,-0.03968652561148293,-0.018810655084342463,0
8990,59.05,0.4801947412815577,35.71,1.1286240483911707,0.00823672977618238,0.5826166021835589,3.01,5.7,2.98,4.92,4.43,1.21,4.38,0.09424707094540774,86.19,3.28,14.07,7.28,0.14535521801130685,0.13169601580935944,0.0632397342393873,0
8991,64.24,0.5028578710018654,37.54,1.0961887171545872,0.027155274201193774,0.6095830831953086,0.65,5.08,2.58,4.42,0.98,1.13,3.91,0.10844208682842238,85.24,3.03,10.65,4.0,0.1652567467816529,0.0719215798572853,0.03616633252612513,0
8992,53.27,0.4634149024362119,29.55,1.1398738261166321,0.01787118265561521,0.5980714112609579,1.18,9.63,4.97,8.56,1.48,0.81,6.25,0.09998714038013104,83.75,4.0,14.6,-9.83,0.0814326324298266,0.22471565357964804,0.10413658267950217,0
8993,38.42,0.4574052092391905,35.32,1.093507224832813,0.00333151748249028,0.5594203090391529,0.25,3.15,1.7,3.01,0.35,1.43,2.32,0.11205573302417253,86.47,5.31,12.64,-4.47,0.07969531879655815,0.008798956449191805,0.004024688515729101,0
